37/   50 | d_loss: 0.3926 | g_loss: 0.3714
37/   50 | d_loss: 0.3743 | g_loss: 0.3819
37/   50 | d_loss: 0.3764 | g_loss: 0.3883
37/   50 | d_loss: 0.3710 | g_loss: 0.3983
37/   50 | d_loss: 0.3730 | g_loss: 0.4106
37/   50 | d_loss: 0.3702 | g_loss: 0.3918
38/   50 | d_loss: 0.3824 | g_loss: 0.3936
38/   50 | d_loss: 0.3648 | g_loss: 0.4145
38/   50 | d_loss: 0.3747 | g_loss: 0.3825
38/   50 | d_loss: 0.3721 | g_loss: 0.4019
38/   50 | d_loss: 0.3714 | g_loss: 0.3995
38/   50 | d_loss: 0.3711 | g_loss: 0.4384
39/   50 | d_loss: 0.3707 | g_loss: 0.3997
39/   50 | d_loss: 0.3681 | g_loss: 0.3987
39/   50 | d_loss: 0.3754 | g_loss: 0.4103
39/   50 | d_loss: 0.3749 | g_loss: 0.3988
39/   50 | d_loss: 0.3743 | g_loss: 0.3816
39/   50 | d_loss: 0.3727 | g_loss: 0.4060
40/   50 | d_loss: 0.3746 | g_loss: 0.3916
40/   50 | d_loss: 0.3684 | g_loss: 0.4129
40/   50 | d_loss: 0.3691 | g_loss: 0.4026
40/   50 | d_loss: 0.3711 | g_loss: 0.3994
40/   50 | d_loss: 0.3692 | g_loss: 0.4111
40/   50 | d_loss: 0.3710 | g_loss: 0.4034
41/   50 | d_loss: 0.3669 | g_loss: 0.3956
41/   50 | d_loss: 0.3825 | g_loss: 0.3575
41/   50 | d_loss: 0.3681 | g_loss: 0.3872
41/   50 | d_loss: 0.3688 | g_loss: 0.3960
41/   50 | d_loss: 0.3697 | g_loss: 0.3895
41/   50 | d_loss: 0.3696 | g_loss: 0.4024
42/   50 | d_loss: 0.3670 | g_loss: 0.4135
42/   50 | d_loss: 0.3693 | g_loss: 0.3981
42/   50 | d_loss: 0.3680 | g_loss: 0.4038
42/   50 | d_loss: 0.3728 | g_loss: 0.3989
42/   50 | d_loss: 0.3633 | g_loss: 0.4089
42/   50 | d_loss: 0.3648 | g_loss: 0.4101
43/   50 | d_loss: 0.3704 | g_loss: 0.3992
43/   50 | d_loss: 0.3683 | g_loss: 0.4131
43/   50 | d_loss: 0.3698 | g_loss: 0.3865
43/   50 | d_loss: 0.3669 | g_loss: 0.4121
43/   50 | d_loss: 0.3656 | g_loss: 0.4008
43/   50 | d_loss: 0.3721 | g_loss: 0.4094
44/   50 | d_loss: 0.3639 | g_loss: 0.4025
44/   50 | d_loss: 0.3666 | g_loss: 0.3903
44/   50 | d_loss: 0.3735 | g_loss: 0.3753
44/   50 | d_loss: 0.3697 | g_loss: 0.3992
44/   50 | d_loss: 0.3642 | g_loss: 0.4266
44/   50 | d_loss: 0.3679 | g_loss: 0.4057
45/   50 | d_loss: 0.3690 | g_loss: 0.4099
45/   50 | d_loss: 0.3658 | g_loss: 0.4076
45/   50 | d_loss: 0.3681 | g_loss: 0.4459
45/   50 | d_loss: 0.3689 | g_loss: 0.4074
45/   50 | d_loss: 0.3639 | g_loss: 0.4248
45/   50 | d_loss: 0.3671 | g_loss: 0.4062
46/   50 | d_loss: 0.3675 | g_loss: 0.4007
46/   50 | d_loss: 0.3644 | g_loss: 0.4403
46/   50 | d_loss: 0.3636 | g_loss: 0.4117
46/   50 | d_loss: 0.3655 | g_loss: 0.4053
46/   50 | d_loss: 0.3684 | g_loss: 0.4106
46/   50 | d_loss: 0.3708 | g_loss: 0.3995
47/   50 | d_loss: 0.3654 | g_loss: 0.4090
47/   50 | d_loss: 0.3665 | g_loss: 0.4106
47/   50 | d_loss: 0.3680 | g_loss: 0.4326
47/   50 | d_loss: 0.3649 | g_loss: 0.3975
47/   50 | d_loss: 0.3689 | g_loss: 0.4241
47/   50 | d_loss: 0.3642 | g_loss: 0.4118
48/   50 | d_loss: 0.3725 | g_loss: 0.4421
48/   50 | d_loss: 0.3621 | g_loss: 0.4174
48/   50 | d_loss: 0.3674 | g_loss: 0.4060
48/   50 | d_loss: 0.3683 | g_loss: 0.4045
48/   50 | d_loss: 0.3646 | g_loss: 0.3976
48/   50 | d_loss: 0.3677 | g_loss: 0.3839
49/   50 | d_loss: 0.3608 | g_loss: 0.4285
49/   50 | d_loss: 0.3603 | g_loss: 0.4174
49/   50 | d_loss: 0.3664 | g_loss: 0.4052
49/   50 | d_loss: 0.3661 | g_loss: 0.3919
49/   50 | d_loss: 0.3638 | g_loss: 0.4043
49/   50 | d_loss: 0.3640 | g_loss: 0.3986
50/   50 | d_loss: 0.3629 | g_loss: 0.4261
50/   50 | d_loss: 0.3583 | g_loss: 0.4448
50/   50 | d_loss: 0.3668 | g_loss: 0.4207
50/   50 | d_loss: 0.3615 | g_loss: 0.4435
50/   50 | d_loss: 0.3678 | g_loss: 0.4090
50/   50 | d_loss: 0.3623 | g_loss: 0.4301
